w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
the,bank,'s,cost,of,funds,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
bank,'s,cost,of,funds,and,what,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
's,cost,of,funds,and,what,it,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
cost,of,funds,and,what,it,receives,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
of,funds,and,what,it,receives,as,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WP
funds,and,what,it,receives,as,interest,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
and,what,it,receives,as,interest,payments,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
what,it,receives,as,interest,payments,--,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,IN
it,receives,as,interest,payments,--,improved,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,NN
receives,as,interest,payments,--,improved,in,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,NNS
as,interest,payments,--,improved,in,the,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,:
interest,payments,--,improved,in,the,quarter,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,VBN
payments,--,improved,in,the,quarter,",",LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
--,improved,in,the,quarter,",",as,MIXED,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
improved,in,the,quarter,",",as,did,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
in,the,quarter,",",as,did,certain,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,quarter,",",as,did,certain,areas,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
quarter,",",as,did,certain,areas,of,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
",",as,did,certain,areas,of,wholesale,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
as,did,certain,areas,of,wholesale,banking,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
did,certain,areas,of,wholesale,banking,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
certain,areas,of,wholesale,banking,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
areas,of,wholesale,banking,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
of,wholesale,banking,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,nbc,'s,options,could,<PAD>,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,NNP
<PAD>,<PAD>,nbc,'s,options,could,range,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,LOWER,POS
<PAD>,nbc,'s,options,could,range,from,<PAD>,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
nbc,'s,options,could,range,from,news-oriented,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
's,options,could,range,from,news-oriented,programming,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
options,could,range,from,news-oriented,programming,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
could,range,from,news-oriented,programming,to,sports,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
range,from,news-oriented,programming,to,sports,shows,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
from,news-oriented,programming,to,sports,shows,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TO
news-oriented,programming,to,sports,shows,",",although,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,NNS
programming,to,sports,shows,",",although,the,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,VBZ
to,sports,shows,",",although,the,network,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
sports,shows,",",although,the,network,declined,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
shows,",",although,the,network,declined,to,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
",",although,the,network,declined,to,comment,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
although,the,network,declined,to,comment,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBD
the,network,declined,to,comment,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,TO
network,declined,to,comment,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VB
declined,to,comment,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,among,major,domestic,agencies,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,IN
<PAD>,<PAD>,among,major,domestic,agencies,",",<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,PUNCT,JJ
<PAD>,among,major,domestic,agencies,",",the,<PAD>,TITLE,LOWER,LOWER,LOWER,PUNCT,LOWER,JJ
among,major,domestic,agencies,",",the,environmental,TITLE,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,NNS
major,domestic,agencies,",",the,environmental,protection,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,","
domestic,agencies,",",the,environmental,protection,agency,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,TITLE,DT
agencies,",",the,environmental,protection,agency,stands,LOWER,PUNCT,LOWER,TITLE,TITLE,TITLE,LOWER,NNP
",",the,environmental,protection,agency,stands,to,PUNCT,LOWER,TITLE,TITLE,TITLE,LOWER,LOWER,NNP
the,environmental,protection,agency,stands,to,receive,LOWER,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
environmental,protection,agency,stands,to,receive,increases,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
protection,agency,stands,to,receive,increases,significantly,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,TO
agency,stands,to,receive,increases,significantly,beyond,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
stands,to,receive,increases,significantly,beyond,those,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
to,receive,increases,significantly,beyond,those,sought,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
receive,increases,significantly,beyond,those,sought,by,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
increases,significantly,beyond,those,sought,by,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
significantly,beyond,those,sought,by,the,administration,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
beyond,those,sought,by,the,administration,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
those,sought,by,the,administration,",",with,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
sought,by,the,administration,",",with,pollution,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
by,the,administration,",",with,pollution,abatement,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,administration,",",with,pollution,abatement,and,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
administration,",",with,pollution,abatement,and,control,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",with,pollution,abatement,and,control,accounts,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
with,pollution,abatement,and,control,accounts,growing,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
pollution,abatement,and,control,accounts,growing,by,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
abatement,and,control,accounts,growing,by,14,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,NNS
and,control,accounts,growing,by,14,%,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,VBG
control,accounts,growing,by,14,%,to,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,IN
accounts,growing,by,14,%,to,about,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,CD
growing,by,14,%,to,about,$,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,PUNCT,NN
by,14,%,to,about,$,829.9,LOWER,DIGIT,PUNCT,LOWER,LOWER,PUNCT,MIXED,TO
14,%,to,about,$,829.9,million,DIGIT,PUNCT,LOWER,LOWER,PUNCT,MIXED,LOWER,RB
%,to,about,$,829.9,million,.,PUNCT,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,$
to,about,$,829.9,million,.,<PAD>,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,<PAD>,CD
about,$,829.9,million,.,<PAD>,<PAD>,LOWER,PUNCT,MIXED,LOWER,PUNCT,<PAD>,<PAD>,CD
$,829.9,million,.,<PAD>,<PAD>,<PAD>,PUNCT,MIXED,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,mr.,jelenic,had,been,<PAD>,<PAD>,<PAD>,TITLE,TITLE,LOWER,LOWER,NNP
<PAD>,<PAD>,mr.,jelenic,had,been,executive,<PAD>,<PAD>,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,mr.,jelenic,had,been,executive,vice,<PAD>,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
mr.,jelenic,had,been,executive,vice,president,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
jelenic,had,been,executive,vice,president,for,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
had,been,executive,vice,president,for,operations,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
been,executive,vice,president,for,operations,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
executive,vice,president,for,operations,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,IN
vice,president,for,operations,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
president,for,operations,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,in,the,past,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,IN
<PAD>,<PAD>,in,the,past,",",not,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,DT
<PAD>,in,the,past,",",not,only,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
in,the,past,",",not,only,would,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,past,",",not,only,would,reputable,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,RB
past,",",not,only,would,reputable,professionals,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,RB
",",not,only,would,reputable,professionals,have,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
not,only,would,reputable,professionals,have,rushed,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
only,would,reputable,professionals,have,rushed,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
would,reputable,professionals,have,rushed,to,check,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
reputable,professionals,have,rushed,to,check,out,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
professionals,have,rushed,to,check,out,such,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
have,rushed,to,check,out,such,rumors,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
rushed,to,check,out,such,rumors,with,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RP
to,check,out,such,rumors,with,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
check,out,such,rumors,with,the,company,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
out,such,rumors,with,the,company,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
such,rumors,with,the,company,",",but,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
rumors,with,the,company,",",but,companies,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
with,the,company,",",but,companies,listed,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,company,",",but,companies,listed,on,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,CC
company,",",but,companies,listed,on,the,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
",",but,companies,listed,on,the,major,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
but,companies,listed,on,the,major,stock,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
companies,listed,on,the,major,stock,exchanges,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
listed,on,the,major,stock,exchanges,were,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
on,the,major,stock,exchanges,were,encouraged,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,major,stock,exchanges,were,encouraged,by,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
major,stock,exchanges,were,encouraged,by,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
stock,exchanges,were,encouraged,by,the,exchanges,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
exchanges,were,encouraged,by,the,exchanges,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
were,encouraged,by,the,exchanges,to,respond,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
encouraged,by,the,exchanges,to,respond,openly,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
by,the,exchanges,to,respond,openly,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
the,exchanges,to,respond,openly,to,such,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
exchanges,to,respond,openly,to,such,inquiries,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
to,respond,openly,to,such,inquiries,from,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
respond,openly,to,such,inquiries,from,securities,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
openly,to,such,inquiries,from,securities,analysts,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
to,such,inquiries,from,securities,analysts,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
such,inquiries,from,securities,analysts,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NNS
inquiries,from,securities,analysts,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
from,securities,analysts,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,barometer,of,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,barometer,of,the,biggest,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,barometer,of,the,biggest,nonfinancial,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,barometer,of,the,biggest,nonfinancial,stocks,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
barometer,of,the,biggest,nonfinancial,stocks,settled,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJS
of,the,biggest,nonfinancial,stocks,settled,at,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
the,biggest,nonfinancial,stocks,settled,at,448.49,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,NNS
biggest,nonfinancial,stocks,settled,at,448.49,",",LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,PUNCT,VBD
nonfinancial,stocks,settled,at,448.49,",",off,LOWER,LOWER,LOWER,LOWER,MIXED,PUNCT,LOWER,IN
stocks,settled,at,448.49,",",off,1.40,LOWER,LOWER,LOWER,MIXED,PUNCT,LOWER,MIXED,CD
settled,at,448.49,",",off,1.40,.,LOWER,LOWER,MIXED,PUNCT,LOWER,MIXED,PUNCT,","
at,448.49,",",off,1.40,.,<PAD>,LOWER,MIXED,PUNCT,LOWER,MIXED,PUNCT,<PAD>,IN
448.49,",",off,1.40,.,<PAD>,<PAD>,MIXED,PUNCT,LOWER,MIXED,PUNCT,<PAD>,<PAD>,CD
",",off,1.40,.,<PAD>,<PAD>,<PAD>,PUNCT,LOWER,MIXED,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,it,helps,us,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,it,helps,us,",",<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,PUNCT,PRP
<PAD>,``,it,helps,us,",",and,<PAD>,MIXED,TITLE,LOWER,LOWER,PUNCT,LOWER,VBZ
``,it,helps,us,",",and,people,MIXED,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,PRP
it,helps,us,",",and,people,feel,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
helps,us,",",and,people,feel,better,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,CC
us,",",and,people,feel,better,talking,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
",",and,people,feel,better,talking,to,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
and,people,feel,better,talking,to,someone,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
people,feel,better,talking,to,someone,who,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
feel,better,talking,to,someone,who,'s,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
better,talking,to,someone,who,'s,gone,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
talking,to,someone,who,'s,gone,through,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WP
to,someone,who,'s,gone,through,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
someone,who,'s,gone,through,the,same,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
who,'s,gone,through,the,same,thing,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
's,gone,through,the,same,thing,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
gone,through,the,same,thing,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,JJ
through,the,same,thing,",",'',an,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,NN
the,same,thing,",",'',an,sba,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,UPPER,","
same,thing,",",'',an,sba,official,LOWER,LOWER,PUNCT,MIXED,LOWER,UPPER,LOWER,''
thing,",",'',an,sba,official,says,LOWER,PUNCT,MIXED,LOWER,UPPER,LOWER,LOWER,DT
",",'',an,sba,official,says,.,PUNCT,MIXED,LOWER,UPPER,LOWER,LOWER,PUNCT,NNP
'',an,sba,official,says,.,<PAD>,MIXED,LOWER,UPPER,LOWER,LOWER,PUNCT,<PAD>,NN
an,sba,official,says,.,<PAD>,<PAD>,LOWER,UPPER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
sba,official,says,.,<PAD>,<PAD>,<PAD>,UPPER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,banc,one,corp.,said,<PAD>,<PAD>,<PAD>,TITLE,TITLE,TITLE,LOWER,NNP
<PAD>,<PAD>,banc,one,corp.,said,frank,<PAD>,<PAD>,TITLE,TITLE,TITLE,LOWER,TITLE,CD
<PAD>,banc,one,corp.,said,frank,e.,<PAD>,TITLE,TITLE,TITLE,LOWER,TITLE,UPPER,NNP
banc,one,corp.,said,frank,e.,mckinney,TITLE,TITLE,TITLE,LOWER,TITLE,UPPER,MIXED,VBD
one,corp.,said,frank,e.,mckinney,plans,TITLE,TITLE,LOWER,TITLE,UPPER,MIXED,LOWER,NNP
corp.,said,frank,e.,mckinney,plans,to,TITLE,LOWER,TITLE,UPPER,MIXED,LOWER,LOWER,NNP
said,frank,e.,mckinney,plans,to,retire,LOWER,TITLE,UPPER,MIXED,LOWER,LOWER,LOWER,NNP
frank,e.,mckinney,plans,to,retire,as,TITLE,UPPER,MIXED,LOWER,LOWER,LOWER,LOWER,VBZ
e.,mckinney,plans,to,retire,as,the,UPPER,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,TO
mckinney,plans,to,retire,as,the,bank,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
plans,to,retire,as,the,bank,holding,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,retire,as,the,bank,holding,company,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
retire,as,the,bank,holding,company,'s,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
as,the,bank,holding,company,'s,president,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
the,bank,holding,company,'s,president,effective,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
bank,holding,company,'s,president,effective,jan.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,POS
holding,company,'s,president,effective,jan.,12,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,DIGIT,NN
company,'s,president,effective,jan.,12,.,LOWER,LOWER,LOWER,LOWER,TITLE,DIGIT,PUNCT,JJ
's,president,effective,jan.,12,.,<PAD>,LOWER,LOWER,LOWER,TITLE,DIGIT,PUNCT,<PAD>,NNP
president,effective,jan.,12,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,DIGIT,PUNCT,<PAD>,<PAD>,CD
effective,jan.,12,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,DIGIT,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,positive,currency,rates,and,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,JJ
<PAD>,<PAD>,positive,currency,rates,and,strong,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,positive,currency,rates,and,strong,sales,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
positive,currency,rates,and,strong,sales,growth,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
currency,rates,and,strong,sales,growth,led,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
rates,and,strong,sales,growth,led,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
and,strong,sales,growth,led,to,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
strong,sales,growth,led,to,a,substantial,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
sales,growth,led,to,a,substantial,rise,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
growth,led,to,a,substantial,rise,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
led,to,a,substantial,rise,in,consolidated,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
to,a,substantial,rise,in,consolidated,profit,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,substantial,rise,in,consolidated,profit,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
substantial,rise,in,consolidated,profit,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
rise,in,consolidated,profit,in,the,period,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
in,consolidated,profit,in,the,period,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
consolidated,profit,in,the,period,",",although,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
profit,in,the,period,",",although,the,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
in,the,period,",",although,the,company,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,period,",",although,the,company,did,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
period,",",although,the,company,did,n't,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
",",although,the,company,did,n't,provide,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
although,the,company,did,n't,provide,figures,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,company,did,n't,provide,figures,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,RB
company,did,n't,provide,figures,",",as,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,VB
did,n't,provide,figures,",",as,is,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
n't,provide,figures,",",as,is,customary,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
provide,figures,",",as,is,customary,with,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
figures,",",as,is,customary,with,swiss,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,TITLE,VBZ
",",as,is,customary,with,swiss,companies,PUNCT,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,JJ
as,is,customary,with,swiss,companies,.,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,PUNCT,IN
is,customary,with,swiss,companies,.,<PAD>,LOWER,LOWER,LOWER,TITLE,LOWER,PUNCT,<PAD>,JJ
customary,with,swiss,companies,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,LOWER,PUNCT,<PAD>,<PAD>,NNS
with,swiss,companies,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,when,the,deal,ran,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,WRB
<PAD>,<PAD>,when,the,deal,ran,into,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,DT
<PAD>,when,the,deal,ran,into,trouble,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NN
when,the,deal,ran,into,trouble,",",TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBD
the,deal,ran,into,trouble,",",the,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
deal,ran,into,trouble,",",the,stock,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
